<<<<<<< HEAD
id,genre_id,title_id
1,1,2
2,1,2
3,1,3
4,1,4
5,2,5
6,6,5
7,7,5
8,3,6
9,4,7
10,7,8
11,1,9
12,2,9
13,4,10
14,4,11
15,1,12
16,5,12
17,6,12
18,8,12
19,1,13
20,5,14
21,2,15
22,16,15
23,8,15
24,2,16
25,2,17
26,1,18
27,1,19
28,7,20
29,8,20
30,9,21
31,10,22
32,10,23
33,10,24
34,8,25
35,15,26
36,11,27
37,14,27
38,11,28
39,12,29
40,14,30
41,13,31
42,13,32
=======
id,title_id,genre_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,2
6,5,6
7,5,7
8,6,3
9,7,4
10,8,7
11,9,1
12,9,2
13,10,4
14,11,4
15,12,1
16,12,5
17,12,6
18,12,8
19,13,1
20,14,5
21,15,2
22,15,6
23,15,8
24,16,2
25,17,2
26,18,1
27,19,1
28,20,7
29,20,8
30,21,9
31,22,10
32,23,10
33,24,10
34,25,8
35,26,15
36,27,11
37,27,14
38,28,11
39,29,12
40,30,14
41,31,13
42,32,13
>>>>>>> f8937a04ea5ce98be5ddb4390984759bebb0b5b1
